preco,area,quartos
5500,128,2.0
1300,60,2.0
39000,500,
6000,74,
5500,194,3.0
8000,1,
1300,100,2.0
6000,74,
1800,20,1.0
3200,300,
1500,140,3.0
15000,286,
1400,50,2.0
1400,50,2.0
8000,168,
2500,86,2.0
3000,200,2.0
8000,186,2.0
8000,75,
